match_id,possession,num_events,team,possession_team,ends_with_shot,duration,num_passes,num_carries,num_dribbles,num_duels,num_players,pressure_events,num_miscontrols,num_dispossessed,start_x,start_y,end_x,end_y,progression,num_turnovers,pass_ratio,progression_rate
3912592,27,1,Manchester United W,Manchester United W,0,0.004493,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,62.3,13.3,62.3,13.3,0.0,0.0,1.0,0.0
3912592,28,11,Aston Villa W,Aston Villa W,0,5.758658,2.0,1.0,0.0,0.0,4,3.0,0.0,0.0,55.5,70.1,93.3,44.2,37.8,0.0,0.18181818181818182,6.5640293276662725
3912592,29,5,Aston Villa W,Manchester United W,0,8.30728,1.0,1.0,0.0,0.0,3,1.0,0.0,0.0,24.7,36.7,2.2,36.7,-22.5,0.0,0.2,-2.708467753584807
3912592,30,11,Aston Villa W,Manchester United W,0,3.153073,1.0,0.0,0.0,1.0,6,4.0,0.0,0.0,120.0,0.1,13.3,43.2,-106.7,0.0,0.09090909090909091,-33.8400030700209
3912592,31,21,Manchester United W,Aston Villa W,0,15.282438,7.0,3.0,0.0,0.0,10,0.0,0.0,0.0,2.5,39.9,9.4,13.8,6.9,0.0,0.3333333333333333,0.45149864177430327
3912592,32,4,Manchester United W,Aston Villa W,0,5.819779,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,120.0,80.0,0.9,40.0,-119.1,0.0,0.25,-20.464694621565528
3912592,33,3,Manchester United W,Manchester United W,0,2.629501,1.0,0.0,0.0,1.0,2,1.0,0.0,0.0,7.0,44.1,44.8,72.8,37.8,0.0,0.3333333333333333,14.375351064707715
3912592,34,34,Aston Villa W,Aston Villa W,0,25.498122,10.0,9.0,0.0,0.0,12,7.0,0.0,0.0,75.3,7.3,90.5,8.0,15.200000000000003,0.0,0.29411764705882354,0.5961223340291494
3912592,35,124,Manchester United W,Manchester United W,0,142.46215701,35.0,32.0,1.0,0.0,20,36.0,0.0,0.0,31.0,72.1,108.5,23.1,77.5,0.0,0.28225806451612906,0.5440041174903729
3912592,36,13,Aston Villa W,Aston Villa W,0,9.139204,3.0,3.0,0.0,0.0,6,4.0,0.0,0.0,13.9,57.0,23.2,72.4,9.299999999999999,0.0,0.23076923076923078,1.0175940924395603
